TALLY_ENTRY_ID,RECON_INST,TRANS_PRODUCT_CODE,TRANS_EVENT_CODE,DIRECTION,IS_AUTO_OPEN,EXT_PROPERTY,ACCOUNT_TYPE,OPERATOR,MEMO,GMT_CREATE,GMT_MODIFIED
"01012055","3008","100060040001","01013","D","F",,"INNERTRANS","system","结算管理-融资-直投-放款-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012056","3008","100060040002","01013","D","F",,"INNERTRANS","system","结算管理-融资-直投-还款-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012057","3008","100060040003","01013","D","F",,"INNERTRANS","system","结算管理-融资-直投-清算轧差-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012058","3008","100060040004","01013","D","F",,"INNERTRANS","system","结算管理-融资-直投-利息减免-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012059","3008","100060040005","01013","D","F",,"INNERTRANS","system","结算管理-融资-直投-担保赔付-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012060","3008","100060040006","01013","D","F",,"INNERTRANS","system","结算管理-融资-直投-其他类支出-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012061","3008","100060040007","01013","D","F",,"INNERTRANS","system","结算管理-融资-直投-其他类收入-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012062","3008","100060050001","01013","D","F",,"INNERTRANS","system","结算管理-融资-AE提前收款-还款-D","2016-05-13 11:14:00","2016-05-13 11:14:00"
"01012063","3008","100060050002","01013","D","F",,"INNERTRANS","system","结算管理-融资-AE提前收款-其他类支出-D","2016-05-13 11:14:00","2016-05-13 11:14:00"
"01012064","3008","100060050003","01013","D","F",,"INNERTRANS","system","结算管理-融资-AE提前收款-其他类收入-D","2016-05-13 11:14:00","2016-05-13 11:14:00"
"01012065","3008","100060060001","07005","D","F",,"INNERTRANS","system","结算管理-融资-单笔对接招财宝-还款-内转-D","2016-05-13 11:08:05","2016-05-13 11:08:05"
"01012067","3008","100060040003","07004","D","F",,"INNERTRANS","system","结算管理-融资-直投-清算轧差-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012068","3008","100060040004","07004","D","F",,"INNERTRANS","system","结算管理-融资-直投-利息减免-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012069","3008","100060040005","07004","D","F",,"INNERTRANS","system","结算管理-融资-直投-担保赔付-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
